Date,Time (UTC),Year,Vehicle,Payload,Payload Mass (kg),Orbit,Orbit Category
2020-03-18,12:16:00,2020,Falcon 9,Starlink: Launch 5 (60 satellites),15600,LEO,LEO (Starlink)
2020-04-22,19:30:00,2020,Falcon 9,Starlink: Launch 6 (60 satellites),15600,LEO,LEO (Starlink)
2020-05-30,19:22:00,2020,Falcon 9,Crew Dragon Demo-2 (Crew Dragon C206.1 Endeavour)[32],12530,LEO (ISS),LEO (Other)
2020-06-04,01:25:00,2020,Falcon 9,Starlink: Launch 7 (60 satellites),15600,LEO,LEO (Starlink)
2020-06-13,09:21:00,2020,Falcon 9,Starlink: Launch 8 (58 satellites),15410,LEO,LEO (Starlink)
2020-06-30,20:10:00,2020,Falcon 9,GPS III-03 (Matthew Henson),4311,MEO,MEO
2020-07-20,21:30:00,2020,Falcon 9,ANASIS-II,50006000,GTO,GTO/GEO
2020-08-07,05:12:00,2020,Falcon 9,Starlink: Launch 9 (57 satellites),14932,LEO,LEO (Starlink)
2020-08-18,14:31:00,2020,Falcon 9,Starlink: Launch 10 (58 satellites),15440,LEO,LEO (Starlink)
2020-08-30,23:18:00,2020,Falcon 9,SAOCOM 1B[69]GNOMES 1[69]Tyvak-0172[70],3130,SSO,SSO (Other)
2020-09-03,12:46:00,2020,Falcon 9,Starlink: Launch 11 (60 satellites),15600,LEO,LEO (Starlink)
2020-10-06,11:29:00,2020,Falcon 9,Starlink: Launch 12 (60 satellites),15600,LEO,LEO (Starlink)
2020-10-18,12:25:00,2020,Falcon 9,Starlink: Launch 13 (60 satellites),15600,LEO,LEO (Starlink)
2020-10-24,15:31:00,2020,Falcon 9,Starlink: Launch 14 (60 satellites),15600,LEO,LEO (Starlink)
2020-11-05,23:24:00,2020,Falcon 9,GPS III-04 (Sacagawea)[53][86],4311,MEO,MEO
2020-11-16,00:27:00,2020,Falcon 9,Crew-1 (Crew Dragon C207.1 Resilience),12500,LEO (ISS),LEO (Other)
2020-11-21,17:17:00,2020,Falcon 9,Sentinel-6 Michael Freilich (Jason-CS A),1192,LEO,LEO (Other)
2020-11-25,02:13:00,2020,Falcon 9,Starlink: Launch 15 (60 satellites),15600,LEO,LEO (Starlink)
2020-12-06,16:17:00,2020,Falcon 9,SpaceX CRS-21 (Dragon C208.1),2972,LEO (ISS),LEO (Other)
2020-12-13,17:30:00,2020,Falcon 9,SXM-7,7000,GTO,GTO/GEO
2020-12-19,14:00:00,2020,Falcon 9,NROL-108,0,LEO,LEO (Other)
2021-01-08,02:15:00,2021,Falcon 9,Türksat 5A[121],3500,GTO,GTO/GEO
2021-01-20,13:02:00,2021,Falcon 9,Starlink: Launch 16 (60 satellites),15600,LEO,LEO (Starlink)
2021-01-24,15:00:00,2021,Falcon 9,Transporter-1 (143 payload smallsat rideshare),5000,SSO,SSO (Other)
2021-02-04,06:19:00,2021,Falcon 9,Starlink: Launch 18 (60 satellites),15600,LEO,LEO (Starlink)
2021-02-16,03:59:00,2021,Falcon 9,Starlink: Launch 19 (60 satellites),15600,LEO,LEO (Starlink)
2021-03-04,08:24:00,2021,Falcon 9,Starlink: Launch 17 (60 satellites),15600,LEO,LEO (Starlink)
2021-03-11,08:13:00,2021,Falcon 9,Starlink: Launch 20 (60 satellites),15600,LEO,LEO (Starlink)
2021-03-14,10:01:00,2021,Falcon 9,Starlink: Launch 21 (60 satellites),15600,LEO,LEO (Starlink)
2021-03-24,08:28:00,2021,Falcon 9,Starlink: Launch 22 (60 satellites),15600,LEO,LEO (Starlink)
2021-04-07,16:34:00,2021,Falcon 9,Starlink: Launch 23 (60 satellites),15600,LEO,LEO (Starlink)
2021-04-23,09:49:00,2021,Falcon 9,Crew-2 (Crew Dragon C206.2 Endeavour),13000,LEO (ISS),LEO (Other)
2021-04-29,03:44:00,2021,Falcon 9,Starlink: Launch 24 (60 satellites),15600,LEO,LEO (Starlink)
2021-05-04,19:01:00,2021,Falcon 9,Starlink: Launch 25 (60 satellites),15600,LEO,LEO (Starlink)
2021-05-09,06:42:00,2021,Falcon 9,Starlink: Launch 27 (60 satellites),15600,LEO,LEO (Starlink)
