Date,Time (UTC),Year,Vehicle,Payload,Payload Mass (kg),Orbit,Orbit Category
2025-04-25,01:52:00,2025,Falcon 9,Starlink: Group 6-74,16100,LEO,LEO (Starlink)
2025-04-28,02:09:00,2025,Falcon 9,Starlink: Group 12-23,17100,LEO,LEO (Starlink)
2025-04-28,20:42:00,2025,Falcon 9,Starlink: Group 11-9,15500,LEO,LEO (Starlink)
2025-04-29,02:34:00,2025,Falcon 9,Starlink: Group 12-10,17100,LEO,LEO (Starlink)
2025-05-02,01:51:00,2025,Falcon 9,Starlink: Group 6-75,16100,LEO,LEO (Starlink)
2025-05-04,08:54:00,2025,Falcon 9,Starlink: Group 6-84,16675,LEO,LEO (Starlink)
2025-05-07,01:17:00,2025,Falcon 9,Starlink: Group 6-93,16100,LEO,LEO (Starlink)
2025-05-10,00:19:00,2025,Falcon 9,Starlink: Group 15-3,14950,LEO,LEO (Starlink)
2025-05-10,06:28:00,2025,Falcon 9,Starlink: Group 6-91,16100,LEO,LEO (Starlink)
2025-05-13,01:15:00,2025,Falcon 9,Starlink: Group 15-4,14950,LEO,LEO (Starlink)
2025-05-13,05:02:00,2025,Falcon 9,Starlink: Group 6-83,16100,LEO,LEO (Starlink)
2025-05-14,16:38:00,2025,Falcon 9,Starlink: Group 6-67,16100,LEO,LEO (Starlink)
2025-05-16,13:43:00,2025,Falcon 9,Starlink: Group 15-5,14950,LEO,LEO (Starlink)
2025-05-21,03:19:00,2025,Falcon 9,Starlink: Group 12-15,17100,LEO,LEO (Starlink)
2025-05-23,22:32:00,2025,Falcon 9,Starlink: Group 11-16,15500,LEO,LEO (Starlink)
2025-05-24,17:19:00,2025,Falcon 9,Starlink: Group 12-22,17100,LEO,LEO (Starlink)
2025-05-27,16:57:00,2025,Falcon 9,Starlink: Group 17-1,17500,SSO,SSO (Starlink)
2025-05-27,23:36:00,2025,Block 2 Starship,8 Starlink simulator satellites[50],0,Transatmospheric,Other
2025-05-28,13:30:00,2025,Falcon 9,Starlink: Group 10-32,15500,LEO,LEO (Starlink)
2025-05-30,17:37:00,2025,Falcon 9,GPS III-8,4350,MEO,MEO
2025-05-31,20:10:00,2025,Falcon 9,Starlink: Group 11-18,15500,LEO,LEO (Starlink)
2025-06-03,04:43:00,2025,Falcon 9,Starlink: Group 12-19,17100,LEO,LEO (Starlink)
2025-06-04,23:40:00,2025,Falcon 9,Starlink: Group 11-22,15500,LEO,LEO (Starlink)
2025-06-07,04:54:00,2025,Falcon 9,SXM-10,6400,GTO,GTO/GEO
2025-06-08,14:20:00,2025,Falcon 9,Starlink: Group 15-8,14950,LEO,LEO (Starlink)
2025-06-10,13:05:00,2025,Falcon 9,Starlink: Group 12-24,17100,LEO,LEO (Starlink)
2025-06-13,01:54:00,2025,Falcon 9,Starlink: Group 15-6,14950,LEO,LEO (Starlink)
2025-06-13,15:29:00,2025,Falcon 9,Starlink: Group 12-26,17100,LEO,LEO (Starlink)
2025-06-17,03:36:00,2025,Falcon 9,Starlink: Group 15-9,14950,LEO,LEO (Starlink)
2025-06-18,05:55:00,2025,Falcon 9,Starlink: Group 10-18,16100,LEO,LEO (Starlink)
2025-06-23,05:58:00,2025,Falcon 9,Starlink: Group 10-23,15500,LEO,LEO (Starlink)
2025-06-23,21:25:00,2025,Falcon 9,Transporter-14 (70 payloads smallsat rideshare)[68],0,SSO,SSO (Other)
2025-06-25,06:31:00,2025,Falcon 9,Axiom Mission 4 (Crew Dragon C213-1 Grace),13000,LEO (ISS),LEO (Other)
2025-06-25,19:54:00,2025,Falcon 9,Starlink: Group 10-16,15500,LEO,LEO (Starlink)
2025-06-28,04:26:00,2025,Falcon 9,Starlink: Group 10-34,15500,LEO,LEO (Starlink)
2025-06-28,17:13:00,2025,Falcon 9,Starlink: Group 15-7,14950,LEO,LEO (Starlink)
2025-07-01,21:04:00,2025,Falcon 9,MTG-S1 / Sentinel-4A[364],3800,GTO,GTO/GEO
2025-07-02,06:28:00,2025,Falcon 9,Starlink: Group 10-25,15500,LEO,LEO (Starlink)
2025-07-08,08:21:00,2025,Falcon 9,Starlink: Group 10-28,16100,LEO,LEO (Starlink)
2025-07-13,05:04:00,2025,Falcon 9,Dror-1 [he],4000,GTO,GTO/GEO
2025-07-16,02:05:00,2025,Falcon 9,Starlink: Group 15-2,14950,LEO,LEO (Starlink)
2025-07-16,06:30:00,2025,Falcon 9,KuiperSat × 24 (KF-01),14784,LEO,LEO (Other)
2025-07-19,03:52:00,2025,Falcon 9,Starlink: Group 17-3,17500,SSO,SSO (Starlink)
2025-07-22,21:12:00,2025,Falcon 9,O3b mPOWER 9 & 10,3400,MEO,MEO
2025-07-23,18:13:00,2025,Falcon 9,TRACERS (2 satellites)+ 5 rideshares,920,SSO,SSO (Other)
2025-07-26,09:01:00,2025,Falcon 9,Starlink: Group 10-26,16100,LEO,LEO (Starlink)
2025-07-27,04:31:00,2025,Falcon 9,Starlink: Group 17-2,17500,SSO,SSO (Starlink)
2025-07-30,03:37:00,2025,Falcon 9,Starlink: Group 10-29,16100,LEO,LEO (Starlink)
2025-07-31,18:35:00,2025,Falcon 9,Starlink: Group 13-4 + 2 Starshield satellites)[381],14060,SSO,SSO (Starlink)
2025-08-01,15:43:00,2025,Falcon 9,Crew-11 (Crew Dragon C206-6 Endeavour),13000,LEO (ISS),LEO (Other)
2025-08-04,07:57:00,2025,Falcon 9,Starlink: Group 10-30,16100,LEO,LEO (Starlink)
2025-08-11,12:35:00,2025,Falcon 9,KuiperSat × 24 (KF-02),14784,LEO,LEO (Other)
2025-08-14,05:05:00,2025,Falcon 9,Starlink: Group 17-4,17500,SSO,SSO (Starlink)
2025-08-14,12:29:00,2025,Falcon 9,Starlink: Group 10-20,16100,LEO,LEO (Starlink)
2025-08-18,16:26:00,2025,Falcon 9,Starlink: Group 17-5,17500,SSO,SSO (Starlink)
2025-08-22,03:50:00,2025,Falcon 9,USSF-36 (Boeing X-37B OTV-8),4990,LEO,LEO (Other)
2025-08-22,17:04:00,2025,Falcon 9,Starlink: Group 17-6,17500,SSO,SSO (Starlink)
2025-08-24,06:45:00,2025,Falcon 9,SpaceX CRS-33 (Dragon C211-3),2300,LEO (ISS),LEO (Other)
2025-08-26,18:53:00,2025,Falcon 9,NAOS + 7 rideshares[398],1370,SSO,SSO (Other)
2025-08-26,23:30:00,2025,Block 2 Starship,8 Starlink simulator satellites[54],16000,Transatmospheric,Other
2025-08-27,11:10:00,2025,Falcon 9,Starlink: Group 10-56,16100,LEO,LEO (Starlink)
2025-08-28,08:12:00,2025,Falcon 9,Starlink: Group 10-11,16100,LEO,LEO (Starlink)
2025-08-30,04:59:00,2025,Falcon 9,Starlink: Group 17-7,17500,SSO,SSO (Starlink)
